Camp_Name,Compound_Name,BLDG_Location,m²,Qty_of_rooms,Actual_Sqm_m2,Frequency_Per_Day,Frequency_Per_Week,Max_Frequency_Per_Month,Start_Date,End_Date,Shift_Code,Time_Window_Start,Time_Window_End
CAMP1,DANISH,Bld. 87, 1 single containers F24,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F25,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F26,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F27,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F28,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F29,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F30,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F31,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F32,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F33,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F34,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F35,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F36,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F37,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F38,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F39,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F40,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F41,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F42,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F43,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F44,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F45,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F46,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F47,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F48,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F49,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F50,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F51,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F52,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F53,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F54,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F55,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F56,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F57,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F58,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F59,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F60,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F61,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F62,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F63,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F64,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F65,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F66,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F67,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F68,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F69,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F70,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F71,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F72,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F73,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F74,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F75,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F76,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F77,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F78,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F79,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F80,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F81,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F82,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F83,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F84,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F85,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F86,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F87,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F88,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F89,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F90,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F91,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F92,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F93,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F94,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F95,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F96,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F97,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F98,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F99,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F100,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
